date,activity_id,activity,mason,helper,barbender,carpenter,machinery,cement_bags,steel_kg,sand_cum,aggregate_cum,bricks_nos,paint_litre
2026-07-08,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-23,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-06-24,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-06-25,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-06-26,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-06-27,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-06-29,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-06-30,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-01,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-02,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-03,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-04,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-06,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-07,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-08,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-09,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-10,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-07-11,A27,Ceiling plastering,5,5,0,0,-,7.9,0.0,0.38,0.0,0.0,0.0
2026-06-18,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-06-24,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,A28,Terrace waterproofing,3,4,0,0,-,8.0,0.0,0.0,0.0,0.0,0.0
2026-07-11,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-13,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-14,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-15,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-16,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-17,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-18,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-20,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-21,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-22,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-23,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-24,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-25,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-27,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-28,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-29,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-30,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-31,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-08-01,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-08-03,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-08-04,A29,Flooring - vitrified/ceramic/granite,6,6,0,0,-,7.2,0.0,0.35,0.0,0.0,0.0
2026-07-04,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-07,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-08,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-09,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-10,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-11,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,A30,Doors & windows fixing,3,3,0,3,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-01,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-02,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-04,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-05,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-09,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-13,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-14,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-16,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-20,A31,Electrical first fix (conduiting),0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-01,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-02,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-04,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-05,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-09,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,A32,Plumbing first fix,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-29,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-07-30,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-07-31,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-01,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-03,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-04,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-05,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-06,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-07,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-08,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-10,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-11,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-12,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-13,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-14,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-15,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-17,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-18,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-19,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-20,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-21,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-22,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-24,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-25,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-26,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-27,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-28,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-29,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-08-31,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-09-01,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-09-02,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-09-03,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-09-04,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-09-05,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-09-07,A33,Internal painting,6,5,0,0,-,0.0,0.0,0.0,0.0,0.0,5.39
2026-07-29,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-07-30,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-07-31,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-01,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-03,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-04,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-05,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-06,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-07,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-08,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-10,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-11,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-12,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-13,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-14,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-15,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-17,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-18,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-19,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-08-20,A34,External painting,5,5,0,0,Scaffolding,0.0,0.0,0.0,0.0,0.0,4.03
2026-07-29,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-31,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-04,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-05,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-06,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-11,A35,Electrical second fix & fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-29,A36,Plumbing second fix & sanitary fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30,A36,Plumbing second fix & sanitary fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-31,A36,Plumbing second fix & sanitary fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,A36,Plumbing second fix & sanitary fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03,A36,Plumbing second fix & sanitary fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-04,A36,Plumbing second fix & sanitary fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-05,A36,Plumbing second fix & sanitary fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-06,A36,Plumbing second fix & sanitary fittings,0,0,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-24,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,A37,Overhead tank construction,2,3,2,1,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-29,A38,MS railing installation,2,2,0,0,Welding Machine,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30,A38,MS railing installation,2,2,0,0,Welding Machine,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-31,A38,MS railing installation,2,2,0,0,Welding Machine,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,A38,MS railing installation,2,2,0,0,Welding Machine,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03,A38,MS railing installation,2,2,0,0,Welding Machine,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-04,A38,MS railing installation,2,2,0,0,Welding Machine,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-05,A38,MS railing installation,2,2,0,0,Welding Machine,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-06,A38,MS railing installation,2,2,0,0,Welding Machine,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-24,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,A39,Compound wall & gate,3,4,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-20,A40,Site development & handover cleaning,0,5,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21,A40,Site development & handover cleaning,0,5,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-22,A40,Site development & handover cleaning,0,5,0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
